label,area,convex_area,centroid-0,centroid-1,perimeter,axis_major_length,axis_minor_length,boundary,case_number
1,1192.0,1258.0,31.312080536912752,193.3506711409396,140.22539674441617,53.73671494506058,28.55362382257809,False,019
2,66.0,70.0,16.075757575757574,156.5151515151515,28.14213562373095,9.605380264703255,8.842320060751415,False,019
3,625.0,680.0,30.5056,241.0944,101.84062043356595,37.30979853849247,22.266940730533808,False,019
4,500.0,529.0,29.18,268.022,88.42640687119285,32.73708988386417,19.720770825091968,False,019
5,82.0,84.0,22.79268292682927,109.34146341463415,31.31370849898476,11.344218792568654,9.311642034611312,False,019
6,450.0,466.0,41.74,392.3777777777778,88.2842712474619,34.31925566161472,18.00386596256922,True,019
7,69.0,78.0,35.63768115942029,60.31884057971015,35.89949493661167,16.576343881947732,5.61487852891917,False,019
8,525.0,556.0,48.06095238095238,19.249523809523808,88.76955262170046,31.458064303337707,21.725063006184143,False,019
9,160.0,172.0,56.54375,217.3625,48.384776310850235,17.851484182361762,11.763986887398675,False,019
10,222.0,239.0,57.18468468468468,373.47297297297297,57.21320343559642,19.42072013564369,14.805915846808952,False,019
11,122.0,128.0,56.13934426229508,108.30327868852459,39.55634918610404,14.581239661580117,10.774828844519403,False,019
12,78.0,88.0,57.44871794871795,169.9102564102564,33.55634918610404,12.64422326227081,8.10532341529314,False,019
13,290.0,303.0,66.94137931034483,203.59655172413792,67.79898987322333,26.462228730793218,14.260196675357308,False,019
14,394.0,416.0,72.71827411167513,133.4517766497462,78.8700576850888,30.21776588421233,17.075401992341952,False,019
15,85.0,99.0,64.68235294117648,54.64705882352941,37.55634918610404,14.075012346077468,8.2934113039438,False,019
16,109.0,116.0,73.29357798165138,115.95412844036697,40.62741699796952,14.72877450707882,10.118521175204158,False,019
17,966.0,1030.0,88.13354037267081,157.95652173913044,125.7401153701776,39.82449529182534,31.764082553493534,False,019
18,111.0,117.0,73.98198198198199,21.7027027027027,37.55634918610404,13.9953059958741,10.24608779197522,False,019
19,108.0,120.0,104.18518518518519,119.50925925925925,40.62741699796952,16.093718699643787,8.785379364055432,False,019
20,65.0,71.0,113.81538461538462,163.8923076923077,29.899494936611664,11.315872362340524,7.521568404202645,False,019
21,106.0,114.0,115.9245283018868,107.00943396226415,39.31370849898476,15.786282242808992,9.00643257123677,False,019
22,120.0,128.0,122.34166666666667,173.43333333333334,39.798989873223334,14.382889032330896,10.72661553619936,False,019
23,78.0,85.0,126.83333333333333,147.53846153846155,32.14213562373095,12.913907775853529,7.728986469622717,False,019
24,770.0,796.0,148.8077922077922,213.55454545454546,106.52691193458118,39.40738190294115,25.19469772863018,False,019
25,68.0,72.0,138.0441176470588,145.91176470588235,30.485281374238568,10.994951053750746,8.353374850611548,False,019
26,86.0,90.0,146.01162790697674,172.01162790697674,34.14213562373095,13.238166950121055,8.540061805940828,False,019
27,652.0,709.0,184.09662576687117,373.2730061349693,112.32590180780451,45.167436065847724,18.89873128055304,False,019
28,78.0,83.0,182.44871794871796,178.01282051282053,31.556349186104043,11.347020970990311,8.882157133652328,False,019
29,85.0,90.0,189.18823529411765,210.28235294117647,33.89949493661167,12.035938839307557,9.250731746631905,False,019
30,6509.0,6866.0,235.6699953909971,96.82624058995238,337.7056274847714,119.19355316512566,71.20933705122721,False,019
31,111.0,118.0,196.81981981981983,164.45945945945945,38.384776310850235,13.59700021023802,10.54459401642787,False,019
32,270.0,289.0,214.96666666666667,173.12962962962962,63.698484809834994,24.182890315157728,14.361383113104887,False,019
33,667.0,700.0,239.46176911544228,270.57421289355324,102.63961030678928,37.77444504134966,23.099858949965874,False,019
34,564.0,607.0,239.54432624113474,175.7712765957447,91.84062043356595,29.334393858159483,25.144420670798013,False,019
35,158.0,167.0,242.4620253164557,147.13291139240508,46.384776310850235,15.8793113511718,12.798238758999881,False,019
36,236.0,269.0,258.68220338983053,21.546610169491526,62.8700576850888,23.17575482797263,14.010159189601186,False,019
37,415.0,436.0,269.76867469879517,345.4602409638554,78.76955262170047,27.014275700753494,20.31885496979829,False,019
38,714.0,773.0,284.46078431372547,34.28991596638655,115.49747468305831,43.43725740216611,21.940662390759766,False,019
39,183.0,214.0,283.95081967213116,159.9016393442623,59.698484809834994,25.688842742900967,9.8201990940099,False,019
40,567.0,588.0,290.0670194003527,111.4373897707231,89.01219330881975,31.82184984209776,22.78642527967475,False,019
41,178.0,190.0,292.9438202247191,312.10674157303373,50.04163056034261,19.213306508948385,11.824954006263189,False,019
42,147.0,159.0,296.1292517006803,77.27891156462584,47.62741699796952,19.055616355633614,9.908291668454835,False,019
43,443.0,483.0,302.23024830699774,153.53273137697516,83.45584412271572,29.474535376336792,19.584232191794527,False,019
44,135.0,144.0,307.8,122.08888888888889,44.14213562373095,17.512285818010938,9.875788750929434,False,019
45,164.0,175.0,315.0792682926829,20.908536585365855,48.384776310850235,18.092432153066607,11.680304554745955,False,019
46,68.0,73.0,319.3382352941176,116.58823529411765,29.556349186104043,9.799104696225054,9.095516049368678,False,019
47,86.0,88.0,318.7325581395349,188.58139534883722,35.31370849898476,15.703151027111808,7.039601624542734,False,019
48,67.0,73.0,320.7164179104478,381.14925373134326,29.31370849898476,10.393272768290062,8.489293068456698,False,019
49,270.0,288.0,333.93703703703704,22.185185185185187,63.698484809834994,21.43878826837122,16.682756952369182,False,019
50,185.0,193.0,332.1189189189189,282.4054054054054,48.970562748477136,16.117332980072995,14.96780254535617,False,019
51,92.0,96.0,331.10869565217394,375.30434782608694,33.55634918610404,12.135816158027422,9.704706252970427,False,019
52,137.0,143.0,344.0875912408759,121.2043795620438,42.384776310850235,15.776152403370768,11.168942712544554,False,019
53,95.0,98.0,345.3157894736842,308.87368421052633,34.72792206135785,13.482905816958654,9.043891361169104,False,019
